# height age weight
1.916879692968257700e+02 3.460369288159009216e+01 9.080777718067132298e+01
1.508594700870873169e+02 2.046047037730011553e+01 6.433231797869893853e+01
1.638535784088749665e+02 3.054146450992353934e+01 7.221711505685669863e+01
1.510789826492005261e+02 3.433987778096865640e+01 6.160344948647168906e+01
1.643022940633940721e+02 4.570068340622410119e+01 6.610981827931061616e+01
2.023358599589568882e+02 3.977443717108464938e+01 8.513204419671548351e+01
1.467851765144295086e+02 1.170565991676292228e+01 5.727225795816568166e+01
1.917487514184697091e+02 3.112493245098312755e+01 7.709139705289055655e+01
1.833384950727177340e+02 3.611076084463517333e+01 7.290419679217579585e+01
1.920167999410274433e+02 4.135493110761325397e+01 8.672504156768221151e+01
1.789354930045826677e+02 2.969542417518989197e+01 6.344332806307540551e+01
1.365204947479469411e+02 1.904848790618195054e+01 5.364760907479918473e+01
1.920872476363709325e+02 2.062015743387760125e+01 7.645041868983348365e+01
1.847743646160480466e+02 2.861440441354631403e+01 8.416362757500127145e+01
2.068392827641348504e+02 3.181706971847058441e+01 9.985315120292189306e+01
1.493351354552449948e+02 2.445952206772656012e+01 5.487568656379087884e+01
1.329559427644894924e+02 2.988749143366741379e+01 3.943294154978228505e+01
1.373510671743161140e+02 4.125638798226319182e+01 6.153573333140351309e+01
1.802112100618156489e+02 2.657211031351684838e+01 7.423943769450461616e+01
1.471011753301654039e+02 2.611630483241215117e+01 5.899103120930512745e+01
1.680161219139890818e+02 3.812057788327494023e+01 6.839946709894071830e+01
1.656701430200486413e+02 4.450896742826096641e+01 6.601995670733845145e+01
1.760771806677578013e+02 3.736434820414249458e+01 8.108247714196519951e+01
1.486360533916161160e+02 1.314054236585504398e+01 5.626180805360515080e+01
1.812016117379268394e+02 3.078365019374526668e+01 8.148540802155120844e+01
1.366073590037319150e+02 4.689599750800664424e+01 5.751502300695037206e+01
1.560948118424258837e+02 2.219306431581396311e+01 6.244294892975836575e+01
1.265450715311444867e+02 2.815532259375921953e+01 4.717358856280537793e+01
1.630358559810317161e+02 2.171748343738577347e+01 6.821531655868380994e+01
1.657643501945220521e+02 1.999334804648552222e+01 6.770555617445168650e+01
1.689866276890402048e+02 3.323394224321549473e+01 6.681290520397172372e+01
1.538778531740273081e+02 1.965491137731662974e+01 5.458097539268813136e+01
1.575205292844333940e+02 3.538943217160678500e+01 5.751633930069314005e+01
1.635457662717452934e+02 2.730228897705370272e+01 6.343217586681763009e+01
1.681091040062238449e+02 7.229356212025933814e+00 6.351475844788083691e+01
1.551041921710479983e+02 3.059966861372976865e+01 6.201400089269393590e+01
1.989760008633191717e+02 4.056767563341577443e+01 8.684667036533738838e+01
1.921524416338780270e+02 3.517455495451379477e+01 8.714944514417629762e+01
1.737555757226872970e+02 2.916472509728905038e+01 7.592628411022268153e+01
1.857749218420462967e+02 5.147093096710362659e+01 8.713674777006640682e+01
1.839223767602341582e+02 3.477429636504994193e+01 8.128587573364337970e+01
1.471002844752883902e+02 3.274233539944526683e+01 6.545376908926240844e+01
1.323227798870108245e+02 3.316903758131001467e+01 5.742113209575794031e+01
1.723506419280498676e+02 1.201783585542167998e+01 6.754022784684278236e+01
1.715276751263963604e+02 1.258217469993785542e+01 6.276133818140778686e+01
1.187168346390960494e+02 1.795054998112626521e+01 3.766362036018836790e+01
1.818779339728759794e+02 2.406061268239002615e+01 7.575966742658816599e+01
2.012024285403338695e+02 1.765079540044914097e+01 8.328949766923926745e+01
1.565245669100997361e+02 4.668845979919042577e+01 6.690429122512882998e+01
1.427489615395842293e+02 2.287056473747241370e+01 4.868515265252337088e+01
1.862915137372675076e+02 3.415267082248377761e+01 8.393989196537576447e+01
1.827168980156372982e+02 3.547654590654520490e+01 7.424822274523336318e+01
1.669270409136252340e+02 1.357392048887574276e+01 6.906789468955359723e+01
1.295127079093475686e+02 1.473606205205015662e+01 4.754459268321996035e+01
1.314069451197160561e+02 4.175142429419496182e+01 5.181053468930609540e+01
1.476971670351022112e+02 2.847795942625407051e+01 6.386417886604453287e+01
1.534926136873677933e+02 2.607863770426563477e+01 4.795446023167816207e+01
1.743426663860908832e+02 3.001961453640579336e+01 6.729569314285333803e+01
1.660554027563309489e+02 3.082239118166204861e+01 6.336364605258957283e+01
1.658201803605745965e+02 3.111284810163544279e+01 7.255671773944297342e+01
1.502386838342592057e+02 1.776477822684174157e+01 6.009982123777885477e+01
1.634690820694605975e+02 3.475031570923727031e+01 7.071631763597915210e+01
1.749113493901347169e+02 1.749873899239099018e+01 6.848170845296658626e+01
1.415567530980270590e+02 1.144647174584801164e+01 5.007516628614540366e+01
1.667747568544702119e+02 3.655962894069369895e+01 6.569751779389576996e+01
1.832394245611567953e+02 3.433948046448892910e+01 9.326424882074350364e+01
1.674427856240301651e+02 3.876263564509594062e+01 7.322923208226472980e+01
1.688981363501845010e+02 4.611130212128505690e+01 7.084125867656523212e+01
1.807464512651323219e+02 5.006154714392015848e+01 7.572402159615978690e+01
1.899236486364202392e+02 3.348489997952341213e+01 8.348703963382256177e+01
1.830442683082346207e+02 2.429669647130805998e+01 8.520169150312980832e+01
1.546666352763528494e+02 1.908287418588921724e+01 6.066414680648490787e+01
1.535779269037799395e+02 2.686064988686094424e+01 5.590790857127090163e+01
1.492428730146038163e+02 5.606978135660030915e+01 6.407637469349717207e+01
1.515479368322604330e+02 3.543651475142338114e+01 6.629766827395911832e+01
1.595653781738197097e+02 4.494776751687562921e+01 6.974919058493607338e+01
1.852323331841408844e+02 1.585111932482758235e+01 6.804093029868954545e+01
1.356087232409573744e+02 2.515704413511829785e+01 5.337814378776280222e+01
1.616266131628023288e+02 2.367557168475688911e+01 6.577674693493956681e+01
1.990188305436286953e+02 3.515298208636830424e+01 8.405157514007639463e+01
1.962701596310004675e+02 4.452881148826637059e+01 9.274918422419584374e+01
1.755314939014023139e+02 2.522827080776027842e+01 7.360866584955573444e+01
1.721941290611428599e+02 2.232395712131242149e+01 6.744653584617663000e+01
1.875806461716412343e+02 2.363679325902169381e+01 8.087939557291910830e+01
1.854111667504548677e+02 1.866042720520981746e+01 7.256476222827910760e+01
1.569950769852543146e+02 2.956320020901300794e+01 6.214365562687836331e+01
2.051148206655270769e+02 3.430797604790393507e+01 8.943690268547111089e+01
1.726465267397002208e+02 2.995917425314938143e+01 6.738548657327407909e+01
1.929069366317754941e+02 1.647973912449855050e+01 8.265850338185448720e+01
1.684389357730395318e+02 2.167350247489079962e+01 6.405916326226957835e+01
1.742763395044712809e+02 4.619535504182100283e+01 7.295920898464194693e+01
1.754337406082618429e+02 1.798594831611264766e+01 7.249230379794542500e+01
1.780673875384796929e+02 3.293451254652630666e+01 7.097787866511130517e+01
1.612880284988951018e+02 1.632312697807689261e+01 5.895440643785985202e+01
1.572379589462894955e+02 2.507774116105241546e+01 6.303018207750705670e+01
1.588951674304701385e+02 3.665534803301866162e+01 6.144485057563301211e+01
1.999946932875058394e+02 1.677298813324550508e+01 7.977681640461258894e+01
2.280660854736385090e+02 2.411125009366093508e+01 9.959258502272503222e+01
1.926015034412638158e+02 1.280024014518049569e+01 7.713535403949539671e+01
1.614690491441064637e+02 2.510790427143393089e+01 5.442152528433999237e+01
